10.183.103.29  IMPRESORA PLOTER 	HP Designjet T520 36in
10.182.32.4    IMPRESORA LOBO 		RICOH Aficio MP 4002
10.183.103.7   IMPRESORA MONTELIMA 	RICOH Aficio MP 4002
10.182.38.30   IMPRESORA HUACA 		RICOH Aficio MP 3352
10.183.103.18  IMPRESORA A. GENERAL 	RICOH Aficio MP 3352
10.182.36.92   IMPRESORA SAN VICENTE 	RICOH Aficio MP 5001
10.183.103.8   IMPRESORA CO 02 		RICOH Aficio MP 5002
10.182.2.100   IMPRESORA PIURA 		RICOH Aficio MP 5002
10.183.103.16  IMPRESORA A. AZUCAR 	RICOH Aficio SP 5200S
10.183.103.6   IMPRESORA LAB CO 01 	RICOH Aficio MP 4001
10.183.103.3   IMPRESORA ML.AGRICOLA 	EPSON L565 Series
10.183.103.4   IMPRESORA MAESTRANZA 	EPSON L565 Series
10.183.103.17  IMPRESORA SGD		EPSON L575 Series
10.183.103.74  IMPRESORA TOPICO ML 	EPSON L575 Series
10.183.103.34  IMPRESORA DATACENTER ML  HP Color LaserJet CP2025dn


			
